2026-04-07 10:10:23,416 - api - INFO - FastAPI crawler service starting
2026-04-07 10:10:34,918 - priority_calculator - WARNING - HTTP 403 for category 5030, region 5
2026-04-07 10:10:34,918 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 5
2026-04-07 10:10:34,919 - priority_calculator - WARNING - HTTP 403 for category 5050, region 11
2026-04-07 10:10:34,919 - priority_calculator - WARNING - Failed to fetch data for category 5050, region 11
2026-04-07 10:10:34,920 - priority_calculator - WARNING - HTTP 403 for category 5030, region 10
2026-04-07 10:10:34,920 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 10
2026-04-07 10:10:34,920 - priority_calculator - WARNING - HTTP 403 for category 5050, region 2
2026-04-07 10:10:34,922 - priority_calculator - WARNING - HTTP 403 for category 5050, region 13
2026-04-07 10:10:34,923 - priority_calculator - WARNING - Failed to fetch data for category 5050, region 13
2026-04-07 10:10:34,932 - priority_calculator - WARNING - HTTP 403 for category 5050, region 6
2026-04-07 10:10:34,932 - priority_calculator - WARNING - Failed to fetch data for category 5050, region 6
2026-04-07 10:10:34,932 - priority_calculator - WARNING - HTTP 403 for category 5050, region 7
2026-04-07 10:10:34,932 - priority_calculator - WARNING - Failed to fetch data for category 5050, region 7
2026-04-07 10:10:34,933 - priority_calculator - WARNING - HTTP 403 for category 5030, region 11
2026-04-07 10:10:34,933 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 11
2026-04-07 10:10:34,944 - priority_calculator - WARNING - HTTP 403 for category 5050, region 3
2026-04-07 10:10:34,944 - priority_calculator - WARNING - Failed to fetch data for category 5050, region 3
2026-04-07 10:10:34,945 - priority_calculator - WARNING - HTTP 403 for category 5060, region 5
2026-04-07 10:10:34,945 - priority_calculator - WARNING - Failed to fetch data for category 5060, region 5
2026-04-07 10:10:34,948 - priority_calculator - WARNING - HTTP 403 for category 5050, region 8
